,acc,,,,,,,,,,,,,,
0,[0.8439934  0.88276568 0.90792739 0.89717822 0.94985479 0.85369637 1.],,,,,,,,,,,,,,
,,한국,,,,,,,,,,,,,
,,mixLSTM,1번,2번,3번,4번,5번,6번,7번,,,,,,
,,,0.844,0.8828,0.9079,0.8972,0.9499,0.8537,1,,,,,,
,,,,,,,,,,,,,,,
,,convLSTM,1번,2번,3번,4번,5번,6번,7번,,,,,,
,,,0.8424,0.8833,0.9077,0.8975,0.9496,0.8544,1,,,,,,
,,,,,,,,,,,,,,,
,,cnnLSTM,1번,2번,3번,4번,5번,6번,7번,,,,,,
,,,0.843,0.884,0.9071,0.8977,0.9498,0.8541,1,,,,,,
,,,,,,,,,,,,,,,
,,cnnLSTM-filter-3-5,1번,2번,3번,4번,5번,6번,7번,,,,,,
,,,0.8427,0.8832,0.9092,0.8977,0.9498,0.8542,1,,,,,,
,,,,,,,,,,,,,,,
,,"cnnLSTM-pool-1,2",1번,2번,3번,4번,5번,6번,7번,,,,,,
,,,0.8431,0.8827,0.9076,0.8971,0.9494,0.8528,1,,,,,,
,,,,,,,,,,,,,,,
,,cnnLSTM-conv1D*3,1번,2번,3번,4번,5번,6번,7번,,,Prior,Proposed,,
,,,0.8448,0.8828,0.9087,0.8972,0.9502,0.8563,1,,1,0.844,0.8425,0.0015,1.001780415
,,,,,,,,,,,2,0.8828,0.8824,0.0004,1.000453309
,,cnnLSTM-conv1D*2,1번,2번,3번,4번,5번,6번,7번,,3,0.9079,0.9065,0.0014,1.001544402
,,,0.8425,0.8824,0.9065,0.8935,0.9487,0.8511,1,,4,0.8972,0.8935,0.0037,1.004141018
,,,,,,,,,,,5,0.9499,0.9487,0.0012,1.001264889
,,,,,,,,,,,6,0.8537,0.8511,0.0026,1.00305487
,,cnnLSTM-conv1D*2,1번,2번,3번,4번,5번,6번,7번,,7,1,1,0,1
,,,0.8425,0.8824,0.9065,0.8935,0.9487,0.8511,1,,avg,0.9051,0.9035,0.001542857,1.001770891
,,mixLSTM,1번,2번,3번,4번,5번,6번,7번,,,,,,
,,,0.844,0.8828,0.9079,0.8972,0.9499,0.8537,1,,,,,,
