충전소명,충전일,충전시작시간,충전종료시간,충전일자,충전시간,요일,주말
성동구청,2021-10-10,2021-10-10 10:49:35,2021-10-10 11:21:35,2021-10-10,32.0,6,1
성동구청,2021-10-10,2021-10-10 10:07:58,2021-10-10 10:48:12,2021-10-10,40.0,6,1
성동구청,2021-10-09,2021-10-09 15:32:56,2021-10-09 15:52:44,2021-10-09,19.0,5,1
성동구청,2021-10-08,2021-10-08 18:03:16,2021-10-08 18:44:28,2021-10-08,41.0,4,0
성동구청,2021-10-07,2021-10-07 13:36:43,2021-10-07 14:11:29,2021-10-07,34.0,3,0
성동구청,2021-10-06,2021-10-06 18:12:00,2021-10-06 18:52:33,2021-10-06,40.0,2,0
성동구청,2021-10-06,2021-10-06 14:00:43,2021-10-06 14:33:41,2021-10-06,32.0,2,0
성동구청,2021-10-06,2021-10-06 08:35:41,2021-10-06 09:10:36,2021-10-06,34.0,2,0
성동구청,2021-10-05,2021-10-05 14:32:30,2021-10-05 14:55:02,2021-10-05,22.0,1,0
성동구청,2021-10-05,2021-10-05 13:51:03,2021-10-05 14:31:04,2021-10-05,40.0,1,0
성동구청,2021-10-05,2021-10-05 09:47:35,2021-10-05 10:11:36,2021-10-05,24.0,1,0
성동구청,2021-10-02,2021-10-02 16:55:25,2021-10-02 17:29:40,2021-10-02,34.0,5,1
성동구청,2021-10-02,2021-10-02 16:39:28,2021-10-02 16:52:15,2021-10-02,12.0,5,1
성동구청,2021-10-02,2021-10-02 09:07:45,2021-10-02 09:26:55,2021-10-02,19.0,5,1
성동구청,2021-10-02,2021-10-02 08:21:40,2021-10-02 09:02:53,2021-10-02,41.0,5,1
성동구청,2021-10-01,2021-10-01 07:00:12,2021-10-01 07:40:24,2021-10-01,40.0,4,0
성동구청,2021-09-30,2021-09-30 13:49:24,2021-09-30 14:04:41,2021-09-30,15.0,3,0
성동구청,2021-09-30,2021-09-30 13:27:11,2021-09-30 13:39:34,2021-09-30,12.0,3,0
성동구청,2021-09-29,2021-09-29 17:20:15,2021-09-29 17:32:28,2021-09-29,12.0,2,0
성동구청,2021-09-29,2021-09-29 16:46:18,2021-09-29 17:17:33,2021-09-29,31.0,2,0
성동구청,2021-09-27,2021-09-27 14:49:02,2021-09-27 14:57:46,2021-09-27,8.0,0,0
성동구청,2021-09-27,2021-09-27 12:23:24,2021-09-27 12:56:44,2021-09-27,33.0,0,0
성동구청,2021-09-26,2021-09-26 09:22:57,2021-09-26 09:50:04,2021-09-26,27.0,6,1
성동구청,2021-09-25,2021-09-25 15:37:20,2021-09-25 15:57:03,2021-09-25,19.0,5,1
성동구청,2021-09-25,2021-09-25 07:51:02,2021-09-25 08:31:05,2021-09-25,40.0,5,1
성동구청,2021-09-24,2021-09-24 19:24:33,2021-09-24 19:50:48,2021-09-24,26.0,4,0
성동구청,2021-09-24,2021-09-24 18:42:17,2021-09-24 19:23:06,2021-09-24,40.0,4,0
