충전소명,충전일,충전시작시간,충전종료시간,충전일자,충전시간,요일,주말
양천구청,2021-10-11,2021-10-11 17:42:27,2021-10-11 18:12:35,2021-10-11,30.0,0,0
양천구청,2021-10-11,2021-10-11 12:42:32,2021-10-11 13:18:41,2021-10-11,36.0,0,0
양천구청,2021-10-11,2021-10-11 08:57:36,2021-10-11 09:06:00,2021-10-11,8.0,0,0
양천구청,2021-10-11,2021-10-11 07:39:40,2021-10-11 07:56:56,2021-10-11,17.0,0,0
양천구청,2021-10-11,2021-10-11 06:58:30,2021-10-11 07:38:31,2021-10-11,40.0,0,0
양천구청,2021-10-10,2021-10-10 16:45:13,2021-10-10 17:10:16,2021-10-10,25.0,6,1
양천구청,2021-10-10,2021-10-10 13:01:51,2021-10-10 13:08:28,2021-10-10,6.0,6,1
양천구청,2021-10-10,2021-10-10 12:34:04,2021-10-10 13:00:06,2021-10-10,26.0,6,1
양천구청,2021-10-10,2021-10-10 11:39:52,2021-10-10 12:19:54,2021-10-10,40.0,6,1
양천구청,2021-10-10,2021-10-10 08:41:20,2021-10-10 08:47:55,2021-10-10,6.0,6,1
양천구청,2021-10-10,2021-10-10 08:00:46,2021-10-10 08:40:48,2021-10-10,40.0,6,1
양천구청,2021-10-09,2021-10-09 20:12:56,2021-10-09 20:27:24,2021-10-09,14.0,5,1
양천구청,2021-10-09,2021-10-09 18:35:28,2021-10-09 19:15:30,2021-10-09,40.0,5,1
양천구청,2021-10-09,2021-10-09 17:31:06,2021-10-09 17:50:29,2021-10-09,19.0,5,1
양천구청,2021-10-09,2021-10-09 14:19:55,2021-10-09 14:59:56,2021-10-09,40.0,5,1
양천구청,2021-10-09,2021-10-09 07:14:07,2021-10-09 07:27:10,2021-10-09,13.0,5,1
양천구청,2021-10-09,2021-10-09 06:27:15,2021-10-09 07:07:16,2021-10-09,40.0,5,1
양천구청,2021-10-09,2021-10-09 05:22:30,2021-10-09 05:46:37,2021-10-09,24.0,5,1
양천구청,2021-10-09,2021-10-09 03:33:35,2021-10-09 04:09:37,2021-10-09,36.0,5,1
양천구청,2021-10-09,2021-10-09 02:52:10,2021-10-09 03:32:12,2021-10-09,40.0,5,1
양천구청,2021-10-09,2021-10-09 01:49:39,2021-10-09 02:22:06,2021-10-09,32.0,5,1
양천구청,2021-10-08,2021-10-08 21:47:59,2021-10-08 22:02:00,2021-10-08,14.0,4,0
양천구청,2021-10-08,2021-10-08 16:10:30,2021-10-08 16:18:44,2021-10-08,8.0,4,0
양천구청,2021-10-08,2021-10-08 09:36:54,2021-10-08 10:16:56,2021-10-08,40.0,4,0
양천구청,2021-10-08,2021-10-08 08:24:36,2021-10-08 09:00:36,2021-10-08,36.0,4,0
양천구청,2021-10-08,2021-10-08 03:24:52,2021-10-08 03:53:59,2021-10-08,29.0,4,0
양천구청,2021-10-08,2021-10-08 02:43:44,2021-10-08 03:23:46,2021-10-08,40.0,4,0
