충전소명,충전일,충전시작시간,충전종료시간,충전일자,충전시간,요일,주말
어린이대공원 후문주차장,2021-10-11,2021-10-11 11:35:58,2021-10-11 12:16:05,2021-10-11,40.0,0,0
어린이대공원 후문주차장,2021-10-10,2021-10-10 16:13:08,2021-10-10 16:53:13,2021-10-10,40.0,6,1
어린이대공원 후문주차장,2021-10-10,2021-10-10 12:40:33,2021-10-10 13:03:52,2021-10-10,23.0,6,1
어린이대공원 후문주차장,2021-10-10,2021-10-10 08:07:50,2021-10-10 08:36:03,2021-10-10,28.0,6,1
어린이대공원 후문주차장,2021-10-10,2021-10-10 07:26:33,2021-10-10 08:01:39,2021-10-10,35.0,6,1
어린이대공원 후문주차장,2021-10-09,2021-10-09 20:36:39,2021-10-09 21:01:56,2021-10-09,25.0,5,1
어린이대공원 후문주차장,2021-10-09,2021-10-09 10:49:59,2021-10-09 11:30:03,2021-10-09,40.0,5,1
어린이대공원 후문주차장,2021-10-08,2021-10-08 14:59:08,2021-10-08 15:20:51,2021-10-08,21.0,4,0
어린이대공원 후문주차장,2021-10-08,2021-10-08 13:14:26,2021-10-08 13:54:32,2021-10-08,40.0,4,0
어린이대공원 후문주차장,2021-10-08,2021-10-08 10:17:14,2021-10-08 10:47:45,2021-10-08,30.0,4,0
어린이대공원 후문주차장,2021-10-08,2021-10-08 06:46:44,2021-10-08 07:14:30,2021-10-08,27.0,4,0
어린이대공원 후문주차장,2021-10-07,2021-10-07 21:22:41,2021-10-07 21:30:01,2021-10-07,7.0,3,0
어린이대공원 후문주차장,2021-10-07,2021-10-07 14:24:12,2021-10-07 14:58:06,2021-10-07,33.0,3,0
어린이대공원 후문주차장,2021-10-07,2021-10-07 11:34:36,2021-10-07 12:08:32,2021-10-07,33.0,3,0
어린이대공원 후문주차장,2021-10-07,2021-10-07 10:26:07,2021-10-07 11:06:19,2021-10-07,40.0,3,0
어린이대공원 후문주차장,2021-10-07,2021-10-07 06:36:18,2021-10-07 07:16:24,2021-10-07,40.0,3,0
어린이대공원 후문주차장,2021-10-06,2021-10-06 18:54:53,2021-10-06 19:34:58,2021-10-06,40.0,2,0
어린이대공원 후문주차장,2021-10-06,2021-10-06 17:44:00,2021-10-06 17:56:17,2021-10-06,12.0,2,0
어린이대공원 후문주차장,2021-10-06,2021-10-06 17:03:01,2021-10-06 17:43:07,2021-10-06,40.0,2,0
어린이대공원 후문주차장,2021-10-06,2021-10-06 07:55:53,2021-10-06 08:32:23,2021-10-06,36.0,2,0
어린이대공원 후문주차장,2021-10-05,2021-10-05 18:34:45,2021-10-05 19:14:50,2021-10-05,40.0,1,0
어린이대공원 후문주차장,2021-10-05,2021-10-05 16:44:31,2021-10-05 17:24:34,2021-10-05,40.0,1,0
어린이대공원 후문주차장,2021-10-05,2021-10-05 15:56:19,2021-10-05 16:36:24,2021-10-05,40.0,1,0
어린이대공원 후문주차장,2021-10-05,2021-10-05 13:46:09,2021-10-05 14:12:46,2021-10-05,26.0,1,0
어린이대공원 후문주차장,2021-10-05,2021-10-05 10:38:09,2021-10-05 11:12:20,2021-10-05,34.0,1,0
어린이대공원 후문주차장,2021-10-04,2021-10-04 21:01:12,2021-10-04 21:41:18,2021-10-04,40.0,0,0
어린이대공원 후문주차장,2021-10-04,2021-10-04 17:38:03,2021-10-04 18:12:07,2021-10-04,34.0,0,0
어린이대공원 후문주차장,2021-10-04,2021-10-04 16:25:01,2021-10-04 16:50:40,2021-10-04,25.0,0,0
어린이대공원 후문주차장,2021-10-04,2021-10-04 14:08:24,2021-10-04 14:35:29,2021-10-04,27.0,0,0
