충전소명,충전일,충전시작시간,충전종료시간,충전일자,충전시간,요일,주말
중랑구청,2021-10-11,2021-10-11 17:07:33,2021-10-11 18:02:20,2021-10-11,54.0,0,0
중랑구청,2021-10-11,2021-10-11 14:53:01,2021-10-11 15:50:10,2021-10-11,57.0,0,0
중랑구청,2021-10-11,2021-10-11 10:56:56,2021-10-11 11:50:47,2021-10-11,53.0,0,0
중랑구청,2021-10-11,2021-10-11 02:14:44,2021-10-11 03:04:11,2021-10-11,49.0,0,0
중랑구청,2021-10-10,2021-10-10 22:05:34,2021-10-10 22:35:10,2021-10-10,29.0,6,1
중랑구청,2021-10-10,2021-10-10 14:32:16,2021-10-10 15:38:27,2021-10-10,66.0,6,1
중랑구청,2021-10-10,2021-10-10 12:18:25,2021-10-10 12:34:09,2021-10-10,15.0,6,1
중랑구청,2021-10-10,2021-10-10 09:49:52,2021-10-10 11:21:31,2021-10-10,91.0,6,1
중랑구청,2021-10-10,2021-10-10 09:02:12,2021-10-10 09:42:07,2021-10-10,39.0,6,1
중랑구청,2021-10-10,2021-10-10 07:56:21,2021-10-10 08:05:34,2021-10-10,9.0,6,1
중랑구청,2021-10-10,2021-10-10 03:55:42,2021-10-10 04:48:30,2021-10-10,52.0,6,1
중랑구청,2021-10-10,2021-10-10 02:06:07,2021-10-10 02:53:11,2021-10-10,47.0,6,1
중랑구청,2021-10-09,2021-10-09 17:15:14,2021-10-09 17:55:46,2021-10-09,40.0,5,1
중랑구청,2021-10-09,2021-10-09 16:18:10,2021-10-09 17:04:59,2021-10-09,46.0,5,1
중랑구청,2021-10-09,2021-10-09 10:31:46,2021-10-09 11:09:52,2021-10-09,38.0,5,1
중랑구청,2021-10-09,2021-10-09 08:27:10,2021-10-09 08:51:33,2021-10-09,24.0,5,1
중랑구청,2021-10-09,2021-10-09 03:10:01,2021-10-09 04:01:34,2021-10-09,51.0,5,1
중랑구청,2021-10-09,2021-10-09 03:09:23,2021-10-09 04:22:41,2021-10-09,73.0,5,1
중랑구청,2021-10-08,2021-10-08 17:51:45,2021-10-08 18:01:18,2021-10-08,9.0,4,0
중랑구청,2021-10-08,2021-10-08 17:23:03,2021-10-08 17:33:25,2021-10-08,10.0,4,0
중랑구청,2021-10-08,2021-10-08 15:33:55,2021-10-08 16:16:35,2021-10-08,42.0,4,0
중랑구청,2021-10-08,2021-10-08 13:10:40,2021-10-08 13:52:15,2021-10-08,41.0,4,0
중랑구청,2021-10-08,2021-10-08 12:50:01,2021-10-08 13:19:46,2021-10-08,29.0,4,0
중랑구청,2021-10-08,2021-10-08 11:30:49,2021-10-08 12:33:21,2021-10-08,62.0,4,0
중랑구청,2021-10-08,2021-10-08 05:34:06,2021-10-08 06:04:43,2021-10-08,30.0,4,0
중랑구청,2021-10-08,2021-10-08 02:24:52,2021-10-08 03:20:42,2021-10-08,55.0,4,0
중랑구청,2021-10-08,2021-10-08 02:16:51,2021-10-08 02:22:19,2021-10-08,5.0,4,0
중랑구청,2021-10-08,2021-10-08 01:39:14,2021-10-08 02:21:19,2021-10-08,42.0,4,0
중랑구청,2021-10-07,2021-10-07 16:06:48,2021-10-07 16:46:28,2021-10-07,39.0,3,0
중랑구청,2021-10-07,2021-10-07 15:21:03,2021-10-07 15:58:39,2021-10-07,37.0,3,0
중랑구청,2021-10-07,2021-10-07 03:14:08,2021-10-07 03:58:00,2021-10-07,43.0,3,0
중랑구청,2021-10-06,2021-10-06 19:32:44,2021-10-06 19:49:27,2021-10-06,16.0,2,0
중랑구청,2021-10-06,2021-10-06 15:26:42,2021-10-06 15:54:01,2021-10-06,27.0,2,0
중랑구청,2021-10-05,2021-10-05 19:40:38,2021-10-05 20:31:57,2021-10-05,51.0,1,0
중랑구청,2021-10-05,2021-10-05 16:59:35,2021-10-05 17:35:01,2021-10-05,35.0,1,0
중랑구청,2021-10-05,2021-10-05 15:21:58,2021-10-05 16:52:29,2021-10-05,90.0,1,0
중랑구청,2021-10-05,2021-10-05 13:30:22,2021-10-05 13:49:07,2021-10-05,18.0,1,0
중랑구청,2021-10-05,2021-10-05 10:18:20,2021-10-05 11:09:48,2021-10-05,51.0,1,0
중랑구청,2021-10-05,2021-10-05 06:45:09,2021-10-05 07:19:18,2021-10-05,34.0,1,0
중랑구청,2021-10-04,2021-10-04 18:31:32,2021-10-04 19:15:44,2021-10-04,44.0,0,0
중랑구청,2021-10-04,2021-10-04 16:04:40,2021-10-04 16:34:01,2021-10-04,29.0,0,0
중랑구청,2021-10-04,2021-10-04 12:06:13,2021-10-04 12:32:57,2021-10-04,26.0,0,0
중랑구청,2021-10-04,2021-10-04 06:26:15,2021-10-04 06:45:25,2021-10-04,19.0,0,0
중랑구청,2021-10-04,2021-10-04 02:08:44,2021-10-04 03:04:10,2021-10-04,55.0,0,0
중랑구청,2021-10-03,2021-10-03 18:14:22,2021-10-03 19:02:32,2021-10-03,48.0,6,1
중랑구청,2021-10-03,2021-10-03 05:04:55,2021-10-03 05:40:41,2021-10-03,35.0,6,1
중랑구청,2021-10-03,2021-10-03 01:55:55,2021-10-03 02:55:12,2021-10-03,59.0,6,1
중랑구청,2021-10-02,2021-10-02 15:11:14,2021-10-02 15:55:08,2021-10-02,43.0,5,1
중랑구청,2021-10-02,2021-10-02 07:27:43,2021-10-02 08:45:52,2021-10-02,78.0,5,1
중랑구청,2021-10-01,2021-10-01 22:40:41,2021-10-01 23:07:35,2021-10-01,26.0,4,0
중랑구청,2021-10-01,2021-10-01 21:32:58,2021-10-01 21:54:38,2021-10-01,21.0,4,0
중랑구청,2021-10-01,2021-10-01 17:20:42,2021-10-01 17:31:02,2021-10-01,10.0,4,0
중랑구청,2021-10-01,2021-10-01 16:51:19,2021-10-01 18:14:03,2021-10-01,82.0,4,0
중랑구청,2021-10-01,2021-10-01 16:26:42,2021-10-01 16:49:30,2021-10-01,22.0,4,0
중랑구청,2021-10-01,2021-10-01 06:36:37,2021-10-01 07:58:41,2021-10-01,82.0,4,0
중랑구청,2021-10-01,2021-10-01 02:34:44,2021-10-01 02:58:17,2021-10-01,23.0,4,0
중랑구청,2021-10-01,2021-10-01 01:39:15,2021-10-01 02:29:27,2021-10-01,50.0,4,0
중랑구청,2021-09-30,2021-09-30 18:20:50,2021-09-30 18:36:48,2021-09-30,15.0,3,0
중랑구청,2021-09-30,2021-09-30 17:56:29,2021-09-30 18:16:04,2021-09-30,19.0,3,0
중랑구청,2021-09-30,2021-09-30 16:04:13,2021-09-30 16:52:46,2021-09-30,48.0,3,0
중랑구청,2021-09-30,2021-09-30 14:19:11,2021-09-30 14:57:49,2021-09-30,38.0,3,0
중랑구청,2021-09-30,2021-09-30 13:43:44,2021-09-30 14:00:02,2021-09-30,16.0,3,0
중랑구청,2021-09-30,2021-09-30 11:53:26,2021-09-30 12:50:56,2021-09-30,57.0,3,0
중랑구청,2021-09-30,2021-09-30 01:18:20,2021-09-30 01:32:05,2021-09-30,13.0,3,0
