충전소명,충전일,충전시작시간,충전종료시간,충전일자,충전시간,요일,주말
홍제1동 공용주차장,2021-10-11,2021-10-11 18:27:35,2021-10-11 19:02:46,2021-10-11,35.0,0,0
홍제1동 공용주차장,2021-10-11,2021-10-11 15:16:08,2021-10-11 15:46:14,2021-10-11,30.0,0,0
홍제1동 공용주차장,2021-10-11,2021-10-11 13:00:29,2021-10-11 14:32:35,2021-10-11,92.0,0,0
홍제1동 공용주차장,2021-10-11,2021-10-11 09:36:19,2021-10-11 10:15:53,2021-10-11,39.0,0,0
홍제1동 공용주차장,2021-10-11,2021-10-11 08:38:37,2021-10-11 09:33:36,2021-10-11,54.0,0,0
홍제1동 공용주차장,2021-10-11,2021-10-11 08:12:21,2021-10-11 09:35:15,2021-10-11,82.0,0,0
홍제1동 공용주차장,2021-10-11,2021-10-11 06:55:24,2021-10-11 08:35:00,2021-10-11,99.0,0,0
홍제1동 공용주차장,2021-10-10,2021-10-10 22:44:12,2021-10-10 23:40:19,2021-10-10,56.0,6,1
홍제1동 공용주차장,2021-10-10,2021-10-10 07:33:30,2021-10-10 08:50:19,2021-10-10,76.0,6,1
홍제1동 공용주차장,2021-10-09,2021-10-09 13:48:09,2021-10-09 14:20:08,2021-10-09,31.0,5,1
홍제1동 공용주차장,2021-10-09,2021-10-09 08:44:50,2021-10-09 10:10:23,2021-10-09,85.0,5,1
홍제1동 공용주차장,2021-10-09,2021-10-09 08:28:24,2021-10-09 10:02:45,2021-10-09,94.0,5,1
홍제1동 공용주차장,2021-10-08,2021-10-08 20:42:04,2021-10-08 21:05:17,2021-10-08,23.0,4,0
홍제1동 공용주차장,2021-10-08,2021-10-08 19:24:49,2021-10-08 19:58:49,2021-10-08,34.0,4,0
홍제1동 공용주차장,2021-10-08,2021-10-08 14:47:21,2021-10-08 15:56:26,2021-10-08,69.0,4,0
홍제1동 공용주차장,2021-10-08,2021-10-08 12:49:22,2021-10-08 13:58:48,2021-10-08,69.0,4,0
홍제1동 공용주차장,2021-10-08,2021-10-08 12:05:06,2021-10-08 12:29:57,2021-10-08,24.0,4,0
홍제1동 공용주차장,2021-10-08,2021-10-08 09:28:36,2021-10-08 09:50:43,2021-10-08,22.0,4,0
홍제1동 공용주차장,2021-10-08,2021-10-08 07:37:37,2021-10-08 08:53:45,2021-10-08,76.0,4,0
홍제1동 공용주차장,2021-10-07,2021-10-07 21:58:36,2021-10-07 22:16:53,2021-10-07,18.0,3,0
홍제1동 공용주차장,2021-10-07,2021-10-07 21:09:45,2021-10-07 21:24:55,2021-10-07,15.0,3,0
홍제1동 공용주차장,2021-10-07,2021-10-07 20:33:43,2021-10-07 22:01:11,2021-10-07,87.0,3,0
홍제1동 공용주차장,2021-10-07,2021-10-07 19:54:07,2021-10-07 20:39:20,2021-10-07,45.0,3,0
홍제1동 공용주차장,2021-10-07,2021-10-07 17:09:39,2021-10-07 18:16:17,2021-10-07,66.0,3,0
홍제1동 공용주차장,2021-10-07,2021-10-07 12:17:45,2021-10-07 13:28:34,2021-10-07,70.0,3,0
홍제1동 공용주차장,2021-10-07,2021-10-07 08:57:15,2021-10-07 09:32:37,2021-10-07,35.0,3,0
홍제1동 공용주차장,2021-10-07,2021-10-07 06:57:22,2021-10-07 08:21:45,2021-10-07,84.0,3,0
