,time,,,,,,,,,,,,,
0,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,
2,,,,,,,한국,,,,,,,
3,,,,,,,mixLSTM,1번,2번,3번,4번,5번,6번,7번
4,,,,,,,,610.3719,844.4006,676.8722,650.4547,711.3694,676.728,679.242
5,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,
,,,,,,,convLSTM,1번,2번,3번,4번,5번,6번,7번
,,,,,,,,976.9067,1284.8918,1340.3162,1387.0101,1434.5128,1436.036,1473.2798
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,cnnLSTM,1번,2번,3번,4번,5번,6번,7번
,,,,,,,,538.6146,542.1192,546.745,588.8418,555.0371,549.749,592.3443
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,"cnnLSTM-pool-1,2",1번,2번,3번,4번,5번,6번,7번
,,,,,,,,555.0371 ,568.9744 ,546.5703 ,503.2226 ,509.0479 ,553.0441 ,550.7892 
,,,,,,,,,,,,,,
,,,,,,,cnnLSTM-filter-3-5,1번,2번,3번,4번,5번,6번,7번
,,,,,,,,525.1594,536.3502,541.7622,540.2511,563.6297,534.70843,535.2253
,,,,,,,,,,,,,,
,,,,,,,cnnLSTM-conv1D*3,1번,2번,3번,4번,5번,6번,7번
,,,,,,,,515.0446,574.4178,599.8475,490.2911,579.8106,621.0484,597.0456
,,,,,,,,,,,,,,
,,,,,,,cnnLSTM-conv1D*2,1번,2번,3번,4번,5번,6번,7번
,,,,,,,,494.5046015,463.6050639,469.6691,469.7771,472.5385759,473.0316594,474.2230983
,,,,,,,,,,,,, ,
