,time,,,,,,,,,,,,,,,
0,610.3719428,,,,,,,,,,,,,,,
1,1454.772533,,,,,,,,,,,,,,,
2,2131.644706,,,,,,,,,,,,,,,
3,2782.099444,,,,,,,,,,,,,,,
4,3498.468877,,,,,,,,,,,,,,,
5,4175.196865,,,,,,,,,,,,,,,
6,4854.438892,,,,,,,,,,,Prior,Proposed,minus,times,
,,,,,,,,,,,1,610.3719428,494.5046015,115.8673413,0.234309936,1.234309936
,,,,,,,,,,,2,844.4006,463.6050639,380.7955361,0.821379156,1.821379156
,,,,,,,,,,,3,676.8722,469.6691,207.2031,0.441168261,1.441168261
,,,,,,,,,,,4,650.4547,469.7771,180.6776,0.384602825,1.384602825
,,,,,,,,,,,5,711.3694,472.5385759,238.8308241,0.505420798,1.505420798
,,,,,,,,,,,6,676.728,473.0316594,203.6963406,0.430618832,1.430618832
,,,,,,,,,,,7,679.242,474.2230983,205.0189017,0.432325845,1.432325845
,,,,,,,,,,,avg,692.7769775,473.9070284,218.8699491,,1.464260808
