,time,,,,,,,,,,,,,
0,369.5205333,369.5205333,,,,,,,,,,,,
1,958.1205938,588.6000605,,,,,,,,,,,,
2,1672.571886,714.4512925,,,mixLSTM,1,2,3,4,5,6,7,8,9
3,2346.584728,674.0128412,,,,369.5205333,588.6001,714.4513,674.0128,831.337,405.6672,432.9145,435.0458,443.9294
4,3177.921757,831.3370295,,,,,,,,,,,,
5,3583.588949,405.6671917,,,cnnLSTM,1,2,3,4,5,6,7,8,9
6,4016.503486,432.9145372,,,,288.4787,399.8005,392.863,399.3256,405.7271,281.0412,277.7609,276.161,276.3667
7,4451.549287,435.0458014,,,,,,,,,,,,
8,4895.478724,443.9294369,,,,,,,Prior,Propsed,minus,times,а╬гу,
,,,,,,,,1,369.5205333,288.4787,81.0418333,0.280928309,1.280928309,
,,,,,,,,2,588.6001,399.8005,188.7996,0.472234527,1.472234527,
,,,,,,,,3,714.4513,392.863,321.5883,0.818576196,1.818576196,
,,,,,,,,4,674.0128,399.3256,274.6872,0.687877762,1.687877762,
,,,,,,,,5,831.337,405.7271,425.6099,1.049005354,2.049005354,
,,,,,,,,6,405.6672,281.0412,124.626,0.443443879,1.443443879,
,,,,,,,,7,432.9145,277.7609,155.1536,0.5585869,1.5585869,
,,,,,,,,8,435.0458,276.161,158.8848,0.575333954,1.575333954,
,,,,,,,,9,443.9294,276.3667,167.5627,0.60630568,1.60630568,
,,,,,,,,avg,543.9420704,333.0583,210.8837704,,1.610254729,
